date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:47	16400/16400	---M--	200	added ('OK')	font/woff2	etag:W/%224010-j8udLeZaxxoMT92YYXPbcwWS7Yo%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-BoldItalic.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-BoldItalic.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:47	18668/18668	---M--	200	added ('OK')	font/woff	etag:W/%2248ec-1U5kgNbUBGxqVhmqODuqWXH7igw%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-BoldItalic.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-BoldItalic.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:47	31196/31196	---MCZ	200	added ('OK')	font/ttf	etag:W/%2279dc-6AzEwjLSB192KlLUa+tP+9N6Xxo%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-BoldItalic.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-BoldItalic.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:47	16440/16440	---M--	200	added ('OK')	font/woff2	etag:W/%224038-20iD0M/5XstcA0EOMoOnN8Ue1gQ%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-Italic.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-Italic.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:48	18748/18748	---M--	200	added ('OK')	font/woff	etag:W/%22493c-HBtIc54ctL4T3djAvCed3oUb26A%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-Italic.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-Italic.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:48	31308/31308	---MCZ	200	added ('OK')	font/ttf	etag:W/%227a4c-npoQ2Ppa2Iyez6SQKt3U2SWAsrw%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-Italic.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Math-Italic.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:48	12216/12216	---M--	200	added ('OK')	font/woff2	etag:W/%222fb8-iG5heXpSXUqvzgqvV0FP366huHM%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Bold.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Bold.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:48	14408/14408	---M--	200	added ('OK')	font/woff	etag:W/%223848-or7dyKPU0IAo1wd3btvU0k8uwPw%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Bold.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Bold.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:49	24504/24504	---MCZ	200	added ('OK')	font/ttf	etag:W/%225fb8-ILRfU0a2htUsRFdFOT0XB7uI7B0%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Bold.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Bold.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:49	12028/12028	---M--	200	added ('OK')	font/woff2	etag:W/%222efc-PV+jyzCfjYO03L3SdyXycPYPPus%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Italic.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_SansSerif-Italic.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
